ABE,Aberdeen,SD
ABF,-,-
ABI,Abilene,TX
ABQ,Alburquerque,NM
ABR,Aberdeen,SD
ABY,Albany,GA
ACK,Nantucket,MA
ACT,Waco,TX
ACV,Arcata,CA
ACY,Atlantic City,NJ
ADQ,Kodiak,AK
AEX,Alexandria,LA
AGS,Augusta,AGS
AHN,Athens,GA
AIA,Alliance,NE
AKN,King Salmon,AK
ALB,Albany,NY
ALO,Waterloo,IA
ALS,Alamosa,CO
ALW,Walla Walla,WA
AMA,Amarillo,TX
ANC,Anchorage,AK
AOO,Altoona,PA
APN,Alpena,MI
ART,Watertown,NY
ASE,Aspen,CO
ATL,Atlanta,GA
ATW,Appleton,WI
ATY,Watertown,SD
AUG,Augusta,ME
AUS,Augstin,TX
AVL,Asheville ,NC
AVP,Wilkes-Barre,PA
AZO,Kalamazoo,MI
BBF,Burlington ,MA
BDL,Hartford,CT
BED,Bedford,MA
BET,Bethel,AK
BFF,Scottsbluff,NE
BFL,Bakersfield,CA
BGM,Binghampton,NY
BGR,Bangor,ME
BHB,Bar Harbor,ME
BHM,Birmingham,AL
BIL,Billings ,MT
BIS,Bismarck,ND
BJI,Bemidji,MN
BKW,Beckley,WV
BKX,Brookings,SD
BLF,Bluefield,WV
BLI,Bellingham ,WA
BMG,Bloomington,IN
BMI,Bloomington,IL
BNA,Nashville,TN
BOI,Boise,ID
BOS,Boston,MA
BPT,Beaumont,TX
BQK,Brunswick,GA
BRL,Burlington ,MA
BRO,Brownsville,TX
BRW,Barrow ,AK
BTM,Butte,MT
BTR,Baton Rouge,LA
BTT,Bettles ,AK
BTV,Burlington,VT
BUF,Buffalo,NY
BUR,Burbank ,CA
BWI,Baltimore,MD
BZN,Bozeman,MT
Big,Hilo,Hawaii
CAE,Columbia,SC
CAK,Akron,OH
CDV,Cordova,AK
CEF,Springfield,MA
CGI,Cape Girardeau,MO
CHA,Chattanooga,TN
CHI,Chicago,IL
CHI,Chicago,IL
CHO,Charlottesville,VA
CHS,Charleston,SC
CIC,Chico ,CA
CID,Cedar Rapids,IA
CIU,Sault Ste. Marine,MI
CKB,Clarksburg,WV
CLD,Carlsbad,CA
CLE,Cleveland,OH
CLL,College Station ,TX
CLT,Charlotte,NC
CLU,Columbus ,IN
CMH,Columbus ,OH
CMI,Champaign,IL
CMX,Hancook,MI
CNM,Carlsbad,NM
COD,Cody,WY
COS,Colorado Springs ,CO
COU,Columbia,MO
CPR,Casper,WY
CRP,Corpus Christi,TX
CRW,Charleston,WV
CSG,Columbus,GA
CVG,Cincinnati,OH
CVN,Clovis,NM
CWA,Wausau,WI
CYS,Cheyenne,WY
DAB,Datona Beach,FL
DAL,Dallas,TX
DAY,Dayton,OH
DBQ,Dubuque,IA
DCA,Washington ,DC
DDC,Dodge City,KS
DEC,Decatur,IL
DEN,Denver,CO
DFW,Dallas ,TX
DHN,Dothan,AL
DIK,Dinkinson,ND
DLG,Dillingham,AK
DLH,Duluth,MN
DRO,Durango,CO
DSM,Des Moines,IA
DTT,Detroit,MI
DTW,Detroit,MI
DUJ,Du Bois ,PA
DUT,"Dutch Harbor, Un Island",AK
DVL,Devils Lake,ND
EAR,Kearney ,NE
EAT,Wenatchee,WA
EAU,Eau Claire,WI
EEK,Eek ,AK
EFD,Houston,TX
EFD,Houston,TX
EGE,Vail,CO
EKO,Elko ,NV
ELD,El Dorado,AR
ELM,Elmira ,NY
ELP,El Paso ,TX
ENA,Kenai,AK
ERI,Erie,PA
ESC,Escanaba ,MI
EUG,Eugene,OR
EVV,Evansville,IN
EWN,New Bern,NC
EWR,Newark,NJ
EYW,Key West,FL
FAI,Fairbanks,AK
FAR,Fargo,ND
FAT,Fresno,CA
FAY,Fayetteville,NC
FCA,Kalispell,MT
FLG,Flagstaff,AZ
FLL,Fort Lauderdale,FL
FLO,Florence,SC
FMN,Farmington,NM
FNT,Flint,MI
FOD,Fort Dodge,IA
FSD,Sioux Falls,SD
FSM,Fort Smith,AR
FWA,Fort Wayne ,IN
FYU,Fort Yukon,AK
GBD,Great Bend ,KS
GCC,Gillette,WY
GCK,Garden City,KS
GDV,Glendive,MT
GEG,Spokane,WA
GFK,Grand Forks,ND
GGG,Longview,TX
GJT,Grand Junction ,CO
GLH,Greenville,MS
GNV,Gainesville,FL
GPT,Gulfport ,MS
GRB,Green Bay,WI
GRI,Grand Island ,NE
GRK,Kileen,TX
GRR,Grand Rapids,MI
GSO,Greensboro,NC
GSP,Greenville,SC
GTF,Great Falls,MT
GTR,Columbus,MS
GUC,Gunnison,CO
HGR,Hagerstown ,MD
HHH,Hilton Head Island,SC
HIB,Hibbing ,MN
HLN,Helena,MT
HNL,"Honolulu, Oahu",HI
HNM,Hana Maui,HI
HOB,Hobbs,NM
HOM,Homer,AK
HON,Huron,SD
HOU,Houston,TX
HPN,White Plains,NY
HRL,Harlingen,TX
HRO,Harrison,AR
HSV,Huntsville,AL
HTS,Huntington ,WV
HVN,New Haven,CT
HVR,Havre,MT
HYA,Hyannis,MA
HYS,Hays,KS
Hll,Lake Havasu City,AZ
IAD,Washington ,DC
IAH,Houston ,TX
ICT,Wichita,KS
IDA,Idaho Falls,ID
IGM,Kingman,AZ
ILG,Wilmington ,DE
ILM,Wilmington,NC
IMT,Iron Mountain ,MI
IND,Indianapolis,IN
INL,International Falls,MN
IPL,El Centro,CA
IPT,Williamsport ,PA
IRK,Kirksville,MO
ISN,Williston,ND
ISP,Islip,NY
ITH,Ithaca,NY
IWD,Ironwood,MI
